UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19272872     PULS   1290 
     19272874     PULS   1297 
     19272876     PULS   1304 
     19272878     PULS   1311 
     19272880     PULS   1318 
     19272882     PULS   1325 
     19272884     PULS   1332 
     19272886     PULS   1339 
     19272888     PULS   1346 
     19272890     PULS   1353 
     19272892     PULS   1361 
     19272894     PULS   1369 
     19272896     PULS   1378 
     19272898     PULS   1390 
     19272900     PULS   1405 
     19272902     PULS   1424 
     19272904     PULS   1450 
     19272906     PULS   1484 
     19272908     PULS   1528 
     19272910     PULS   1582 
     19272912     PULS   1649 
     19272914     PULS   1727 
     19272916     PULS   1817 
     19272918     PULS   1917 
     19272920     PULS   2027 
     19272922     PULS   2142 
     19272924     PULS   2263 
     19272926     PULS   2386 
     19272928     PULS   2510 
     19272930     PULS   2632 
     19272932     PULS   2751 
     19272934     PULS   2865 
     19272936     PULS   2974 
     19272938     PULS   4095 
     19272940     PULS   4095 
     19272942     PULS   4095 
     19272944     PULS   4095 
     19272946     PULS   4095 
     19272948     PULS   4095 
     19272950     PULS   4095 
     19272952     PULS   4095 
     19272954     PULS   4095 
     19272956     PULS   4095 
     19272958     PULS   4095 
     19272960     PULS   4095 
     19272962     PULS   4095 
     19272964     PULS   4095 
     19272966     PULS   4095 
     19272968     PULS   4095 
     19272970     PULS   4095 
     19272972     PULS   4095 
     19272974     PULS   4095 
     19272976     PULS   4095 
     19272978     PULS   4095 
     19272980     PULS   4095 
     19272982     PULS   4095 
     19272984     PULS   4095 
     19272986     PULS   4095 
     19272988     PULS   4095 
     19272990     PULS   4095 
     19272992     PULS   4095 
     19272994     PULS   4095 
     19272996     PULS   4095 
     19272998     PULS   4095 
     19273000     PULS   4095 
     19273002     PULS   4095 
     19273004     PULS   3039 
     19273006     PULS   2992 
     19273008     PULS   2944 
     19273010     PULS   2897 
     19273012     PULS   2849 
     19273014     PULS   2801 
     19273016     PULS   2754 
     19273018     PULS   2708 
     19273020     PULS   2662 
     19273022     PULS   2617 
     19273024     PULS   2573 
     19273026     PULS   2530 
     19273028     PULS   2489 
     19273030     PULS   2449 
     19273032     PULS   2410 
     19273034     PULS   2374 
     19273036     PULS   2340 
     19273038     PULS   2308 
     19273040     PULS   2279 
     19273042     PULS   2252 
     19273044     PULS   2227 
     19273046     PULS   2205 
     19273048     PULS   2185 
     19273050     PULS   2168 
     19273052     PULS   2153 
     19273054     PULS   2140 
     19273056     PULS   2129 
     19273058     PULS   2120 
     19273060     PULS   2112 
     19273062     PULS   2105 
     19273064     PULS   2100 
     19273066     PULS   2095 
     19273068     PULS   2092 
     19273070     PULS   2088 
     19273072     PULS   2085 
     19273074     PULS   2082 
     19273076     PULS   2079 
     19273078     PULS   2076 
     19273080     PULS   2072 
     19273082     PULS   2067 
     19273084     PULS   2061 
     19273086     PULS   2055 
     19273088     PULS   2047 
     19273090     PULS   2039 
     19273092     PULS   2029 
     19273094     PULS   2018 
     19273096     PULS   2006 
     19273098     PULS   1993 
     19273100     PULS   1979 
     19273102     PULS   1964 
     19273104     PULS   1948 
     19273106     PULS   1931 
     19273108     PULS   1914 
     19273110     PULS   1895 
     19273112     PULS   1875 
     19273114     PULS   1855 
     19273116     PULS   1835 
     19273118     PULS   1813 
     19273120     PULS   1792 
     19273122     PULS   1770 
     19273124     PULS   1748 
     19273126     PULS   1726 
     19273128     PULS   1703 
     19273130     PULS   1681 
     19273132     PULS   1659 
     19273134     PULS   1637 
     19273136     PULS   1615 
     19273138     PULS   1593 
     19273140     PULS   1572 
     19273142     PULS   1552 
     19273144     PULS   1531 
     19273146     PULS   1512 
     19273148     PULS   1493 
     19273150     PULS   1475 
     19273152     PULS   1457 
     19273154     PULS   1440 
     19273156     PULS   1424 
     19273158     PULS   1408 
     19273160     PULS   1393 
     19273162     PULS   1379 
     19273164     PULS   1365 
     19273166     PULS   1352 
     19273168     PULS   1340 
     19273170     PULS   1329 
     19273172     PULS   1318 
     19273174     PULS   1308 
     19273176     PULS   1299 
     19273178     PULS   1290 
     19273180     PULS   1282 
     19273182     PULS   1274 
     19273184     PULS   1268 
     19273186     PULS   1261 
     19273188     PULS   1256 
     19273190     PULS   1251 
     19273192     PULS   1246 
     19273194     PULS   1242 
     19273196     PULS   1238 
     19273198     PULS   1235 
     19273200     PULS   1233 
     19273202     PULS   1231 
     19273204     PULS   1229 
     19273206     PULS   1228 
     19273208     PULS   1228 
     19273210     PULS   1227 
     19273212     PULS   1228 
     19273214     PULS   1228 
     19273216     PULS   1229 
     19273218     PULS   1230 
     19273220     PULS   1232 
     19273222     PULS   1234 
     19273224     PULS   1236 
     19273226     PULS   1239 
     19273228     PULS   1241 
     19273230     PULS   1245 
     19273232     PULS   1249 
     19273234     PULS   1253 
     19273236     PULS   1257 
     19273238     PULS   1262 
     19273240     PULS   1267 
     19273242     PULS   1273 
     19273244     PULS   1278 
     19273246     PULS   1284 
     19273248     PULS   1290 
     19273250     PULS   1295 
     19273252     PULS   1302 
